repo_name,comments_per_author,authors,comments
Microsoft/vscode,6.02,7554,45489
facebook/react-native,3,5009,15025
tensorflow/tensorflow,6.82,4352,29702
angular/angular-cli,2.34,3839,8969
MicrosoftDocs/azure-docs,8.81,3776,33279
kubernetes/kubernetes,34.29,3582,122809
ansible/ansible,9.85,3388,33373
angular/angular,4.88,3051,14875
flutter/flutter,7.89,3002,23682
magento/magento2,7.38,2372,17500
home-assistant/home-assistant,5.69,2184,12437
Microsoft/TypeScript,6.08,2122,12893
golang/go,9.91,2037,20193
FortAwesome/Font-Awesome,2.25,2017,4536
postmanlabs/postman-app-support,2.13,1993,4245
moby/moby,3.53,1969,6946
angular/material2,3.35,1966,6578
DefinitelyTyped/DefinitelyTyped,5.16,1926,9946
npm/npm,2.04,1796,3659
keras-team/keras,2.39,1794,4283
grafana/grafana,3.57,1779,6355
gatsbyjs/gatsby,9.39,1680,15767
tensorflow/models,3.24,1676,5436
pytorch/pytorch,8.81,1661,14631
laravel/framework,3.86,1614,6226
terraform-providers/terraform-provider-aws,3.62,1598,5788
dotnet/corefx,12.39,1557,19292
yarnpkg/yarn,2.37,1515,3591
react-navigation/react-navigation,3.07,1508,4630
docker/for-win,2.35,1503,3529
electron/electron,4.77,1469,7009
nodejs/node,17.35,1435,24894
webpack/webpack,4.5,1430,6429
rust-lang/rust,31.53,1426,44964
godotengine/godot,13.51,1389,18765
arendst/Sonoff-Tasmota,9.74,1368,13319
ionic-team/ionic,7.51,1357,10196
hashicorp/terraform,2.38,1353,3222
mui-org/material-ui,5.25,1314,6902
facebook/create-react-app,3.08,1307,4024
facebook/jest,4.44,1290,5733
rails/rails,4.86,1286,6245
travis-ci/travis-ci,3.27,1269,4153
RocketChat/Rocket.Chat,4.44,1266,5622
ant-design/ant-design,9.1,1263,11495
vuejs/vue-cli,3.5,1246,4356
nextcloud/server,7.12,1241,8842
Microsoft/WSL,3.57,1232,4402
EOSIO/eos,6.53,1221,7978
ValveSoftware/Proton,4.53,1192,5396
NixOS/nixpkgs,37.33,1185,44233
facebook/react,5.06,1150,5824
Homebrew/homebrew-core,7.67,1145,8785
WordPress/gutenberg,14.27,1138,16235
ElemeFE/element,4.66,1138,5308
expo/expo,3.16,1117,3531
rg3/youtube-dl,2.7,1106,2991
atom/atom,6.79,1099,7466
pojome/elementor,4.06,1099,4462
aspnet/EntityFrameworkCore,6.08,1092,6644
rancher/rancher,7.53,1088,8198
XX-net/XX-Net,7.53,1085,8167
pandas-dev/pandas,10.53,1052,11080
GoogleChrome/puppeteer,2.92,1050,3068
zeit/next.js,4.06,1045,4242
freeCodeCamp/freeCodeCamp,3.8,1037,3941
cypress-io/cypress,3.85,1028,3960
symfony/symfony,8.06,1014,8171
saltstack/salt,9.43,1009,9514
elastic/elasticsearch,14.19,1008,14306
parcel-bundler/parcel,3.95,994,3928
docker/for-mac,2.31,989,2287
wix/react-native-navigation,4.89,985,4817
MarlinFirmware/Marlin,11.8,982,11586
runelite/runelite,8.38,978,8194
qbittorrent/qBittorrent,5.48,977,5358
fastlane/fastlane,6.24,971,6055
kubernetes/charts,13.67,968,13231
ethereum/go-ethereum,3.96,968,3830
kubernetes/minikube,3.34,960,3210
vuejs/vue,2.96,944,2790
sikaozhe1997/Xin-Yue,4.51,943,4257
nuxt/nuxt.js,4.05,923,3737
Microsoft/vsts-tasks,4.03,918,3701
twbs/bootstrap,3.57,917,3278
xamarin/Xamarin.Forms,5.47,916,5015
desktop/desktop,4.94,904,4462
elastic/kibana,22.58,901,20346
aspnet/Docs,6.98,900,6285
docker/compose,1.79,868,1555
getlantern/forum,2.63,864,2268
babel/babel,5.39,855,4609
spring-projects/spring-boot,5.73,851,4873
primefaces/primeng,2.35,842,1978
pypa/pip,4.83,837,4044
tootsuite/mastodon,6.12,830,5081
hashicorp/vagrant,2.34,827,1939
helm/charts,11.78,824,9704
ContinuumIO/anaconda-issues,3.42,824,2822
appium/appium,5.35,823,4407
