nameWithOwner,createdAt,forkCount,hasWikiEnabled,stargazers,issues,help_wanted,good_first_issues,open_issues,projects,milestones,open_milestones,labels,pullRequests,releases,watchers
Microsoft/vscode,2015-09-03T20:23:38Z,8346,true,62933,57629,916,236,4014,0,77,4,206,4157,1,2580
facebook/react-native,2015-01-09T18:10:16Z,15737,true,70285,14358,0,0,693,9,3,0,67,7469,92,3684
tensorflow/tensorflow,2015-11-07T01:19:20Z,69063,false,113133,14208,0,0,1476,0,1,1,40,9018,70,8496
angular/angular-cli,2015-06-04T19:49:37Z,4893,true,20108,9365,169,6,1235,1,9,3,63,3407,136,1317
MicrosoftDocs/azure-docs,2016-11-02T22:00:37Z,5619,false,1700,9467,0,0,1867,0,0,0,230,8327,0,246
kubernetes/kubernetes,2014-06-06T22:56:04Z,14996,false,43141,27738,205,20,2217,12,29,12,177,42616,273,2780
ansible/ansible,2012-03-06T14:58:02Z,13296,false,33434,20298,0,0,3874,26,13,4,295,27435,4,2042
angular/angular,2014-09-18T16:12:01Z,10562,false,42099,16394,0,0,2221,8,60,5,128,10344,0,3265
flutter/flutter,2015-03-06T22:54:58Z,3947,true,40119,14078,0,0,4079,24,39,14,121,9578,1,1654
magento/magento2,2011-11-30T15:30:13Z,5467,true,6268,12782,56,35,1139,10,24,4,260,6126,85,1225
home-assistant/home-assistant,2013-09-17T07:29:48Z,5268,false,17959,7079,0,0,793,2,171,0,1585,10860,294,972
Microsoft/TypeScript,2014-06-17T15:28:39Z,5849,true,40727,19509,1381,216,3079,6,79,8,92,8512,61,1996
golang/go,2014-08-19T04:33:40Z,6682,true,48509,28040,930,0,3928,0,81,10,56,384,0,3221
FortAwesome/Font-Awesome,2012-02-17T14:19:43Z,9831,true,57782,13585,0,0,4637,0,39,0,53,533,16,1427
postmanlabs/postman-app-support,2011-06-20T15:11:21Z,484,true,3447,5359,0,0,1277,31,28,3,94,77,0,240
moby/moby,2013-01-18T18:10:57Z,14802,true,50873,18758,0,0,3285,5,69,1,118,19292,80,3349
angular/material2,2016-01-04T18:50:02Z,4120,true,16265,8100,256,5,1143,17,19,7,55,5738,78,1192
DefinitelyTyped/DefinitelyTyped,2012-10-05T16:39:45Z,15141,true,18202,4802,0,0,2362,4,1,1,41,25301,0,599
